"","F1.1","F1.2","F1.3","F1.4","F2.1","F2.2","F2.3","F2.4","F3.1"
"1",-0.059106239,-0.056939713,-0.00409703305639778,0.00652963548062797,-0.026498128,-0.028372014,-0.00712769698912485,0.00510908874121558,-0.021055314
"2",-0.036877204,-0.035405393,0.0151080518341114,0.0039174473230023,-0.018780227,-0.017167074,-0.00450530342587231,0.00564746754643707,-0.014664481
"3",-0.015347616,-0.019087576,0.0126974808084037,0.0292953217711847,-0.008777137,-0.007955381,0.0144841563019679,-0.00351710774495428,-0.008776376
"4",-0.000611298,-0.002992528,-0.00191565901839771,0.0010586050733861,-0.001576636,-0.003346391,0.004678601317494,-0.0142224189552385,-0.000539915
"5",0.021857274,0.022171068,-0.0127608445997295,0.00885342876164675,0.014038819,0.012159435,0.0143067264451655,0.0175697022979919,0.010561402
"6",0.030978844,0.035314429,-0.0128240174116132,-0.000995473616765124,0.01509518,0.016309412,-0.0103234501336249,0.0151131408169869,0.013419371
"7",0.05017055,0.052087065,-0.00999454526028051,0.0013735563136812,0.025622858,0.023527858,-0.0149550424169609,-0.00737839887186715,0.022337612
"8",0.061160509,0.069006071,0.0105083669657545,-0.00582947173656122,0.027728393,0.030130096,-0.00100202940237694,-0.0163246252280542,0.024520688
"9",0.083265568,0.090189477,0.00466691563483626,0.000429480044091791,0.03755183,0.036732333,-0.00960374896184643,-0.00117409119306512,0.029059005
"10",0.118362364,0.13021482,-0.0219660013136088,-0.00490777597354744,0.044924797,0.044868804,-0.00261074568716067,-0.00652597073845848,0.035284557
"11",0.175922835,0.201188871,-0.0103331477844433,-0.0073520391125238,0.050889283,0.054917495,0.015724233878328,-0.0106239417883229,0.035284557
"12",0.290339541,0.335726913,0.0103299309089238,-0.0133370009752547,0.066332272,0.075996996,0.0048119734264855,-0.0176323816847299,0.042853011
"13",0.501976673,0.57485046,0.0210389412920392,-0.00835586312134488,0.09203942,0.105003354,-0.0127696576293924,-0.0200353252648465,0.050421464
"14",0.880496054,1.012261364,0.0162512122611796,-0.00372153827697134,0.136783524,0.152833678,0.0129178743806868,-0.0118376092196055,0.058320478
"15",1.581720561,1.81979275,0.00689853083646602,0.00393430678847954,0.222865531,0.255288776,0.0113103830657766,-0.0190977877852395,0.072116802
"16",2.739381278,3.118341453,0.0203513834431228,0.0114340734925916,0.380801115,0.440890234,0.0170971839049076,0.00478870848511778,0.094482906
"17",4.408958305,4.939132711,-0.000227796054839164,-0.00520449270832206,0.673637316,0.787487465,-0.00814733004584692,0.00157606118009505,0.131030158
"18",6.359128914,7.005929541,0.00189722277102906,0.00074627221303469,1.212005574,1.416066005,-0.000878663121372926,-0.00864731298332981,0.201141836
"19",8.224850985,8.888487383,-0.000110542200395316,0.0019169593245609,2.187333189,2.543287002,0.00248445013317212,-0.00773357132069167,0.35278748
"20",9.480585275,10.07636617,0.00855370811461366,0.00733565116256994,3.676423389,4.199117684,-0.0064542452343013,0.012722591352459,0.622270016
"21",10.1552624,10.66082616,-0.00396658493361861,-0.00873178456209515,5.568224536,6.202398308,-0.0183141544868004,0.00181429143516779,1.109154496
"22",10.62232142,11.1009194,0.00317486383009336,0.00301961591775758,7.561643827,8.170594724,-0.000603089583557137,0.00900541460536799,1.992164691
"23",10.86590488,11.29066299,0.0121080136680919,-0.010056740924073,9.081580613,9.5840986,0.0156405828929853,-0.0248786897118815,3.381655773
"24",11.0015923,11.43487433,0.00973673765503825,0.0140672887539877,9.975089001,10.44159666,-0.0123231158433211,-0.0184871906033983,5.212195745
"25",11.1452902,11.54489764,0.000689484763898466,-0.00586775176055119,10.53173865,10.94260676,0.0154146148787204,0.00777321086617318,7.181678288
"26",11.18517903,11.52982382,0.0209439132596309,-0.00163478940717747,10.83006104,11.11712113,0.00358774214590967,-0.00764432594097786,8.74566587
"27",11.26904367,11.6095441,0.00154798526504984,-0.00133349814113018,11.09282545,11.33343815,-0.00841217181072862,0.0162136589893586,9.795683117
"28",11.32495343,11.61327371,-0.00347481009747572,0.011396901016988,11.22630466,11.44346146,-0.00885891859112059,-0.00170685547627043,10.35173693
"29",11.42075202,11.61700331,-0.00306909169860482,-0.000806226084248342,11.41339437,11.54975517,-0.0156838501690221,0.0064226523704614,10.76860481
"30",11.38086319,11.61700331,0.0048927813949359,-0.00878303305361557,11.42670583,11.53841095,-0.00341982909052739,0.0132158563252192,10.91606946
"31",11.39279714,11.67015016,0.0155021098812242,0.0112418258320767,11.48906906,11.60290202,-0.00959613466660019,-0.0143589258779427,11.09716639
"32",11.38887365,11.63596213,-0.00245524878246405,-0.00939247063302306,11.51587432,11.61051663,0.00456521716416634,0.00802792326419919,11.2151381
"33",11.35699528,11.48802118,0.0110348600734368,-0.00563674944222168,11.53356213,11.56498438,-0.00924712814253499,0.0221836007583943,11.27412396
"34",11.44069644,11.59042988,0.00306009605347883,0.00569048272579553,11.62273062,11.59528741,-0.0118532937776879,0.0157675769651431,11.39209567
"35",11.40881807,11.55251225,0.0106867384740163,0.00704759626646996,11.60941917,11.5876728,0.00469172630553249,0.00113394211163605,11.43831851
"36",11.42075202,11.55639725,-0.0111424649601439,0.00502975145135758,11.60486046,11.62559044,0.00691198319584619,0.00921091704111791,11.46367208
"37",11.38887365,11.51832421,-0.00155118428911859,0.00166669049753365,11.56930247,11.61813123,0.00759008777671613,0.00401460070156019,11.41313741
"38",11.33296389,11.49190619,0.000580753082717008,-0.0107461834016927,11.5514323,11.56498438,-0.00142048892450814,-0.00548518128440315,11.43831851
"39",11.35699528,11.44248894,0.000616111331318713,-0.00161682425146523,11.58717264,11.53841095,0.0153018868187952,0.00687586163169385,11.49730437
"40",11.35290831,11.46533276,0.00713560992421717,-0.00529414780451394,11.56930247,11.5800582,-0.00777533421296871,0.0121062529849646,11.49730437
"41",11.32102994,11.38561248,0.00635328871836385,-0.00950249141146929,11.5514323,11.53841095,-0.00946583783659916,-0.0162101858254626,11.45936025
"42",11.31301947,11.32485102,-0.00829442451261926,-0.0056150245453628,11.54249722,11.47391989,0.00862395171524303,-0.00313095209677055,11.46367208
"43",11.25710971,11.33619523,-0.0132539779797506,-0.0114763749017484,11.4846927,11.46242028,0.00360303270360349,0.00958666609701742,11.41727677
"44",11.22915483,11.32112142,0.0258619569138283,0.00958530828012551,11.44895236,11.43584685,0.0240813151829436,-0.00611247948018726,11.4215886
"45",11.23324181,11.25274535,-0.013758347551705,-0.0132267758678182,11.47575761,11.41315843,-0.00810265180453793,0.00620568922393356,11.42986732
"46",11.20921042,11.21855731,0.00259093658929578,0.00293914217517584,11.44457599,11.35628197,-0.0137415499756915,0.0090895584814295,11.40468622
"47",11.15738763,11.18436928,-0.00966392687589081,0.0147055652705006,11.38221275,11.30686472,0.0163340135758875,-0.0016186286998561,11.34983972
"48",11.19727646,11.18063967,0.0177544501514815,0.00460717424755786,11.40445929,11.32209394,0.00654111317785074,0.0133469667587633,11.39209567
"49",11.19727646,11.19586889,-0.00610858813894182,-0.00947762450934025,11.38221275,11.34105276,0.00417205934606775,-0.00401257906752071,11.33724917
